Scientific,Common_Nam,Circumfere,Height,Spread,Points,Latitude_NAD83,Longitude_NAD83,POINT_X_NAD83_17N,POINT_Y_NAD83_17N,Database,National_C,Year,Nominated by
Acer negundo,Boxelder,101.0,85.0,43.0,196.8,33.8076,-80.8304,515701.02,3740837.55,Clemson,state,2012,Robert H. Jones and Lee Reynaud
Acer negundo,Boxelder,101.0,85.0,43.0,196.8,33.8076,-80.8304,515701.02,3740837.55,F.Chisolm Beckham,state,2002,Robert H. Jones and Lee Reynaud
Acer negundo,Boxelder,94.0,80.0,39.0,184.0,33.8075,-80.8305,515691.00,3740829.96,Jones1996,STATE CHAMP,1996,Robert H. Jones and Lee Reynaud
Acer negundo,Boxelder,91.0,77.0,45.0,179.0,33.7940,-80.8344,515329.00,3739331.92,Jones1996,,1996,Robert H. Jones and Lee Reynaud
Acer negundo,Boxelder,98.0,66.0,51.0,177.0,33.8050,-80.8506,513830.02,3740542.96,Jones1996,,1996,Robert H. Jones and Lee Reynaud
Acer rubrum,Red Maple,163.2,125.0,35.0,297.0,33.7833,-80.7571,522492.23,3738153.19,Clemson,state,2012,Robert H. Jones and Lee Reynaud
Acer rubrum,Red Maple,163.2,125.0,35.0,297.0,33.7833,-80.7571,522492.23,3738153.19,F.Chisolm Beckham,,2002,John E. Cely
Acer rubrum,Red maple,160.0,119.0,41.0,289.0,33.7833,-80.7571,522488.89,3738159.87,Jones1996,STATE CHAMP,1996,John Cely
Acer rubrum,Red Maple,151.0,116.0,46.0,278.5,33.8061,-80.8166,516974.99,3740672.18,Grego2014,,2014,Robert H. Jones and Lee Reynaud
Acer rubrum,Red Maple,143.4,123.0,36.0,275.6,33.7874,-80.7451,523602.10,3738608.61,F.Chisolm Beckham,,2002,Robert H. Jones and Lee Reynaud
Acer rubrum,Red Maple,143.4,123.0,36.0,275.4,33.7874,-80.7451,523602.10,3738608.61,Clemson,state,2012,Robert H. Jones and Lee Reynaud
Acer rubrum,Red maple,138.0,119.0,49.0,269.0,33.7874,-80.7451,523598.88,3738615.89,Jones1996,,1996,Robert H. Jones and Lee Reynaud
Acer saccharinum,Silver Maple,83.0,78.0,42.0,171.5,33.7794,-80.7734,520981.00,3737724.72,Clemson,state,2012,Robert H. Jones and Lee Reynaud
Acer saccharinum,Silver Maple,83.0,78.0,42.0,171.5,33.7794,-80.7734,520981.00,3737724.72,F.Chisolm Beckham,,2002,Samuel E. Porth
Acer saccharinum,Silver maple,81.0,77.0,41.0,168.0,33.7795,-80.7734,520981.91,3737725.86,Jones1996,STATE CHAMP,1996,Robert H. Jones and Lee Reynaud
Acer saccharinum,Silver maple,72.0,68.0,44.0,151.0,33.7679,-80.7138,526505.85,3736460.92,Jones1996,,1996,
Acer saccharinum,Silver maple,73.0,67.0,40.0,150.0,33.8031,-80.8632,512666.04,3740330.96,Jones1996,,1996,
Alnus serrulata,Hazel Alder,10.0,18.0,16.0,32.0,33.8311,-80.8491,513962.81,3743439.17,GaryWilliamson,state,2013,Doug and Jess Riddle & Will Blozan
Aralia spinosa,Devils Walking Stick,9.0,22.0,12.0,34.0,33.8294,-80.8237,516312.48,3743255.53,GaryWilliamson,state,2013,Robert H. Jones and Lee Reynaud
Asimina triloba,Pawpaw,24.0,52.0,20.0,81.0,33.8123,-80.8294,515790.04,3741360.90,GaryWilliamson,State-co,2013,F. Chisolm Beckham
Asimina triloba,Pawpaw,21.0,53.0,27.0,80.8,33.8127,-80.8291,515814.04,3741399.75,GaryWilliamson,State-co,2013,Robert H. Jones and Lee Reynaud
Asimina triloba,Pawpaw,18.0,56.0,21.0,79.3,33.8227,-80.8203,516632.09,3742511.00,GaryWilliamson,,2013,John Cely
Asimina triloba,Pawpaw,17.4,42.0,13.0,62.7,33.8151,-80.8265,516054.42,3741669.70,Clemson,former state,2012,Robert H. Jones and Lee Reynaud
Asimina triloba,Pawpaw,17.4,42.0,13.0,62.7,33.8151,-80.8265,516054.42,3741669.70,F.Chisolm Beckham,,2002,Samuel E. Porth
Asimina triloba,Pawpaw,16.0,,,,33.8028,-80.8120,517401.42,3740307.07,Grego2014,,2014,Samuel E. Porth and John Cely
Betula nigra,River birch,114.0,83.0,46.0,209.0,33.7749,-80.8063,517937.95,3737212.85,Jones1996,,1996,Robert H. Jones and Lee Reynaud
Carpinus caroliniana,American Hornbeam,61.0,56.0,45.0,128.3,33.8107,-80.8135,517262.84,3741182.73,GaryWilliamson,state,2013,
Carpinus caroliniana,American hornbean,38.0,72.2,33.0,118.0,33.8147,-80.8258,516122.32,3741623.62,Phillips,,2009,
Carya aquatica,Water hickory,190.0,148.0,49.0,350.0,33.7795,-80.7234,525604.86,3737736.92,Jones1996,,1996,
Carya aquatica,Water Hickory,193.8,143.0,46.0,348.3,33.7794,-80.7234,525607.75,3737729.86,Clemson,National Champ,2012,
Carya aquatica,Water Hickory,193.8,143.0,46.0,348.3,33.7794,-80.7234,525607.75,3737729.86,F.Chisolm Beckham,National Champ,2002,
Carya aquatica,Water hickory,185.0,140.0,62.0,341.0,33.7718,-80.7336,524667.86,3736882.87,Jones1996,,1996,
Carya aquatica,Water hick,168.0,136.0,59.0,319.0,33.8004,-80.8288,515843.99,3740040.94,Jones1996,,1996,
Carya cordiformis,Bitternut hickory,131.5,141.1,58.5,287.0,33.8046,-80.8282,515901.78,3740503.27,Phillips,,2013,
Carya cordiformis,Bitternut Hickory,106.0,143.0,72.0,267.0,33.8055,-80.8269,516019.91,3740605.12,GaryWilliamson,state,2013,
Carya cordiformis,Bitternut Hickory,120.0,127.0,76.0,266.0,33.8055,-80.8266,516045.83,3740604.05,Clemson,State,2012,
Celtis laevigata,Sugarberry,160.0,109.4,69.0,286.7,33.8223,-80.8223,516441.53,3742470.75,Clemson,State,2012,
Celtis laevigata,Sugarberry,160.0,109.4,69.0,286.0,33.8224,-80.8298,515750.22,3742476.52,Phillips,State Champion,2011,
Cephalanthus occidentalis,Buttonbush,21.0,14.0,18.0,39.5,33.8170,-80.7932,519141.17,3741889.27,GaryWilliamson,state,2013,
Cephalanthus occidentalis,Buttonbush,11.0,14.0,15.0,28.8,33.8249,-80.8400,514808.69,3742748.59,GaryWilliamson,,2013,
Cornus obliqua,Swamp Dogwood,10.0,21.0,22.0,36.5,33.8238,-80.8375,515033.75,3742626.98,GaryWilliamson,state,2013,
Crataegus viridis,Green Hawthorn,23.0,27.0,26.0,56.5,33.8166,-80.7929,519167.18,3741840.53,GaryWilliamson,state,2013,
